Name,Address,DataType,RefreshRate,AccessPermission,Gain,Offset,Description,,
Xa,400002,Word,100,ReadAndWrite,1,0,chon xa bao nhieu tam 1 luc. PC set,,
Rong,400003,Word,100,ReadAndWrite,1,0,Rong. PC set,,
Cao,400004,Word,100,ReadAndWrite,1,0,doc tu cai dat don hang (order). PC set,,
Canh,400005,Word,100,ReadAndWrite,1,0,= Rong/2. PC set,,
Lan,400006,Word,100,ReadAndWrite,1,0,Kieu lan. PC set,,
Song,400007,Word,100,ReadAndWrite,1,0,doc tu cai dat don hang (order), chieu dai cong them, phu thuoc vao kieu song va so lop. PC set
MetToiKeHoach,400096,Word,100,ReadAndWrite,1,0,PLC Set,,
MetToiThucTe,400020,Word,100,ReadAndWrite,1,0,PLC Set,,
TocDo,400022,Word,100,ReadAndWrite,1,0,PLC set,,
Dao1_PV,400023,Word,100,ReadAndWrite,1,0,,,
Dao2_PV,400024,Word,100,ReadAndWrite,1,0,,,
Dao3_PV,400025,Word,100,ReadAndWrite,1,0,,,
Dao4_PV,400026,Word,100,ReadAndWrite,1,0,,,
Dao5_PV,400027,Word,100,ReadAndWrite,1,0,,,
Hut_PV,400028,Word,100,ReadAndWrite,1,0,Vi tri dau hut giay thua hien tai (giay thua o ria 2 ben). PLC set,,
LoaiLan_PV,400029,Word,100,ReadAndWrite,1,0,,,
DoSauLan_PV,400030,Word,100,ReadAndWrite,1,0,,,
Lang1_PV,400031,Word,100,ReadAndWrite,1,0,Vi tri lang hien tai. PLC set,,
Lang2_PV,400032,Word,100,ReadAndWrite,1,0,Vi tri lang hien tai. PLC set,,
Lang3_PV,400033,Word,100,ReadAndWrite,1,0,Vi tri lang hien tai. PLC set,,
Lang4_PV,400034,Word,100,ReadAndWrite,1,0,Vi tri lang hien tai. PLC set,,
Lang5_PV,400035,Word,100,ReadAndWrite,1,0,Vi tri lang hien tai. PLC set,,
Lang6_PV,400036,Word,100,ReadAndWrite,1,0,Vi tri lang hien tai. PLC set,,
Lang7_PV,400037,Word,100,ReadAndWrite,1,0,Vi tri lang hien tai. PLC set,,
Lang8_PV,400038,Word,100,ReadAndWrite,1,0,Vi tri lang hien tai. PLC set,,
DoiDon,400039,Word,100,ReadAndWrite,1,0,PC bao cho PLC biet da ghi chuyen don xong. PC set 1 - PLC set ve 0,,
Dao1_SV,400040,Word,100,ReadAndWrite,1,0,Vi tri dao cai dat. PC set,,
Dao2_SV,400041,Word,100,ReadAndWrite,1,0,Vi tri dao cai dat. PC set,,
Dao3_SV,400042,Word,100,ReadAndWrite,1,0,Vi tri dao cai dat. PC set,,
Dao4_SV,400043,Word,100,ReadAndWrite,1,0,Vi tri dao cai dat. PC set,,
Dao5_SV,400044,Word,100,ReadAndWrite,1,0,Vi tri dao cai dat. PC set,,
Hut_SV,400045,Word,100,ReadAndWrite,1,0,Vi tri dau hut giay thua cai dat (giay thua o ria 2 ben). PC set,,
Lan1_SV,400048,Word,100,ReadAndWrite,1,0,Vi tri lan cai dat. PC set,,
Lan2_SV,400049,Word,100,ReadAndWrite,1,0,Vi tri lan cai dat. PC set,,
Lan3_SV,400050,Word,100,ReadAndWrite,1,0,Vi tri lan cai dat. PC set,,
Lan4_SV,400051,Word,100,ReadAndWrite,1,0,Vi tri lan cai dat. PC set,,
Lan5_SV,400052,Word,100,ReadAndWrite,1,0,Vi tri lan cai dat. PC set,,
Lan6_SV,400053,Word,100,ReadAndWrite,1,0,Vi tri lan cai dat. PC set,,
Lan7_SV,400054,Word,100,ReadAndWrite,1,0,Vi tri lan cai dat. PC set,,
Lan8_SV,400055,Word,100,ReadAndWrite,1,0,Vi tri lan cai dat. PC set,,
Dao1_U,400056,Word,100,ReadAndWrite,1,0,On/Off dao. PC set. 0-Off; 100-On,,
Dao2_U,400057,Word,100,ReadAndWrite,1,0,,,
Dao3_U,400058,Word,100,ReadAndWrite,1,0,,,
Dao4_U,400059,Word,100,ReadAndWrite,1,0,,,
Dao5_U,400060,Word,100,ReadAndWrite,1,0,,,
Lang1_U,400061,Word,100,ReadAndWrite,1,0,On/Off lang. PC set,,
Lang2_U,400062,Word,100,ReadAndWrite,1,0,,,
Lang3_U,400063,Word,100,ReadAndWrite,1,0,,,
Lang4_U,400064,Word,100,ReadAndWrite,1,0,,,
Lang5_U,400065,Word,100,ReadAndWrite,1,0,,,
Lang6_U,400066,Word,100,ReadAndWrite,1,0,,,
Lang7_U,400067,Word,100,ReadAndWrite,1,0,,,
Lang8_U,400068,Word,100,ReadAndWrite,1,0,,,
Dao_Dao,400069,Word,100,ReadAndWrite,1,0,Khoang cach toi thieu de 2 dao khong dung nhau,,
Dao1_Min,400070,Word,100,ReadAndWrite,1,0,,,
Dao1_Max,400071,Word,100,ReadAndWrite,1,0,Vi tri xa nhat dao 1 co the di chuyen. Dao 5 doi xung,,
Dao2_Min,400072,Word,100,ReadAndWrite,1,0,,,
Dao2_Max,400073,Word,100,ReadAndWrite,1,0,Vi tri xa nhat dao 2 co the di chuyen. Dao 4 doi xung,,
Dao3_Min,400099,Word,100,ReadAndWrite,1,0,,,
Dao3_Max,400100,Word,100,ReadAndWrite,1,0,,,
Dao4_Min,400074,Word,100,ReadAndWrite,1,0,,,
Dao4_Max,400075,Word,100,ReadAndWrite,1,0,,,
Dao5_Min,400076,Word,100,ReadAndWrite,1,0,,,
Dao5_Max,400077,Word,100,ReadAndWrite,1,0,,,
Lan_Lan,400078,Word,100,ReadAndWrite,1,0,Khoang cach toi thieu de 2 lang khong dung nhau,,
Lan1_Min,400079,Word,100,ReadAndWrite,1,0,vi tri min lang 1 co the di chuyen,,
Lan1_Max,400080,Word,100,ReadAndWrite,1,0,,,
Lan2_Min,400081,Word,100,ReadAndWrite,1,0,,,
Lan2_Max,400082,Word,100,ReadAndWrite,1,0,,,
Lan3_Min,400083,Word,100,ReadAndWrite,1,0,,,
Lan3_Max,400084,Word,100,ReadAndWrite,1,0,,,
Lan4_Min,400085,Word,100,ReadAndWrite,1,0,,,
Lan4_Max,400086,Word,100,ReadAndWrite,1,0,,,
KhoMay,400095,Word,100,ReadAndWrite,1,0,Chieu rong cua may xa,,
Run,400101,Word,100,ReadAndWrite,1,0,,,
