Name,Address,DataType,RefreshRate,AccessPermission,Gain,Offset,Description
STT1,400001,Word,100,ReadAndWrite,1,0,
Xa1,400002,Word,100,ReadAndWrite,1,0,
Nap11,400003,Word,100,ReadAndWrite,1,0,
Cao1,400004,Word,100,ReadAndWrite,1,0,
Nap12,400005,Word,100,ReadAndWrite,1,0,
Lang1,400006,Word,100,ReadAndWrite,1,0,
Song1,400007,Word,100,ReadAndWrite,1,0,
KheHo1,400008,Word,100,ReadAndWrite,1,0,
SST2,400009,Word,100,ReadAndWrite,1,0,
Xa2,400010,Word,100,ReadAndWrite,1,0,
Nap21,400011,Word,100,ReadAndWrite,1,0,
Cao2,400012,Word,100,ReadAndWrite,1,0,
Nap22,400013,Word,100,ReadAndWrite,1,0,
Lang2,400014,Word,100,ReadAndWrite,1,0,
Song2,400015,Word,100,ReadAndWrite,1,0,
KheHo2,400016,Word,100,ReadAndWrite,1,0,
LenhChuyenDon,400017,Word,100,ReadAndWrite,1,0,
CheDoChuyenDon,400018,Word,100,ReadAndWrite,1,0,
Run,400019,Word,100,ReadAndWrite,1,0,
ChieuDaiDon,400020,Word,100,ReadAndWrite,1,0,
DoiDon,400021,Word,100,ReadAndWrite,1,0,
Dao1_PV,400022,Word,100,ReadAndWrite,1,0,
Dao1_SV,400023,Word,100,ReadAndWrite,1,0,
Dao1_U,400024,Word,100,ReadAndWrite,1,0,
Dao2_PV,400025,Word,100,ReadAndWrite,1,0,
Dao2_SV,400026,Word,100,ReadAndWrite,1,0,
Dao2_U,400027,Word,100,ReadAndWrite,1,0,
Dao3_PV,400028,Word,100,ReadAndWrite,1,0,
Dao3_SV,400029,Word,100,ReadAndWrite,1,0,
Dao3_U,400030,Word,100,ReadAndWrite,1,0,
Dao4_PV,400031,Word,100,ReadAndWrite,1,0,
Dao4_SV,400032,Word,100,ReadAndWrite,1,0,
Dao4_U,400033,Word,100,ReadAndWrite,1,0,
Dao5_PV,400034,Word,100,ReadAndWrite,1,0,
Dao5_SV,400035,Word,100,ReadAndWrite,1,0,
Dao5_U,400036,Word,100,ReadAndWrite,1,0,
Hut_PV,400037,Word,100,ReadAndWrite,1,0,
Hut_SV,400038,Word,100,ReadAndWrite,1,0,
Lang1_PV,400039,Word,100,ReadAndWrite,1,0,
Lang1_SV,400040,Word,100,ReadAndWrite,1,0,
Lang1_U,400041,Word,100,ReadAndWrite,1,0,
Lang2_PV,400042,Word,100,ReadAndWrite,1,0,
Lang2_SV,400043,Word,100,ReadAndWrite,1,0,
Lang2_U,400044,Word,100,ReadAndWrite,1,0,
Lang3_PV,400045,Word,100,ReadAndWrite,1,0,
Lang3_SV,400046,Word,100,ReadAndWrite,1,0,
Lang3_U,400047,Word,100,ReadAndWrite,1,0,
Lang4_PV,400048,Word,100,ReadAndWrite,1,0,
Lang4_SV,400049,Word,100,ReadAndWrite,1,0,
Lang4_U,400050,Word,100,ReadAndWrite,1,0,
Lang5_PV,400051,Word,100,ReadAndWrite,1,0,
Lang5_SV,400052,Word,100,ReadAndWrite,1,0,
Lang5_U,400053,Word,100,ReadAndWrite,1,0,
Lang6_PV,400054,Word,100,ReadAndWrite,1,0,
Lang6_SV,400055,Word,100,ReadAndWrite,1,0,
Lang6_U,400056,Word,100,ReadAndWrite,1,0,
Lang7_PV,400057,Word,100,ReadAndWrite,1,0,
Lang7_SV,400058,Word,100,ReadAndWrite,1,0,
Lang7_U,400059,Word,100,ReadAndWrite,1,0,
Lang8_PV,400060,Word,100,ReadAndWrite,1,0,
Lang8_SV,400061,Word,100,ReadAndWrite,1,0,
Lang8_U,400062,Word,100,ReadAndWrite,1,0,
KheHo_PV,400063,Word,100,ReadAndWrite,1,0,
KheHo_SV,400064,Word,100,ReadAndWrite,1,0,
Dao1_Adj,400065,Word,100,ReadAndWrite,1,0,
Dao2_Adj,400066,Word,100,ReadAndWrite,1,0,
Dao3_Adj,400067,Word,100,ReadAndWrite,1,0,
Dao4_Adj,400068,Word,100,ReadAndWrite,1,0,
Dao5_Adj,400069,Word,100,ReadAndWrite,1,0,
Hut_Adj,400070,Word,100,ReadAndWrite,1,0,
Lang1_Adj,400071,Word,100,ReadAndWrite,1,0,
Lang2_Adj,400072,Word,100,ReadAndWrite,1,0,
Lang3_Adj,400073,Word,100,ReadAndWrite,1,0,
Lang4_Adj,400074,Word,100,ReadAndWrite,1,0,
Lang5_Adj,400075,Word,100,ReadAndWrite,1,0,
Lang6_Adj,400076,Word,100,ReadAndWrite,1,0,
Lang7_Adj,400077,Word,100,ReadAndWrite,1,0,
Lang8_Adj,400078,Word,100,ReadAndWrite,1,0,
KheHo_Adj,400079,Word,100,ReadAndWrite,1,0,
Dao1_Max,400080,Word,100,ReadAndWrite,1,0,
Dao2_Max,400081,Word,100,ReadAndWrite,1,0,
Dao_Dao,400082,Word,100,ReadAndWrite,1,0,
Lang1_Min,400083,Word,100,ReadAndWrite,1,0,
Lang1_Max,400084,Word,100,ReadAndWrite,1,0,
Lang2_Min,400085,Word,100,ReadAndWrite,1,0,
Lang2_Max,400086,Word,100,ReadAndWrite,1,0,
Lang3_Min,400087,Word,100,ReadAndWrite,1,0,
Lang3_Max,400088,Word,100,ReadAndWrite,1,0,
Lang4_Min,400089,Word,100,ReadAndWrite,1,0,
Lang4_Max,400090,Word,100,ReadAndWrite,1,0,
Lang_Lang,400091,Word,100,ReadAndWrite,1,0,
Setting1,400092,Word,100,ReadAndWrite,1,0,
Setting2,400093,Word,100,ReadAndWrite,1,0,
