Name,Address,DataType,RefreshRate,AccessPermission,Gain,Offset,Description
Xa1,402001,Word,100,ReadAndWrite,1,0,
Rong1,402002,Word,100,ReadAndWrite,1,0,
Canh1,402003,Word,100,ReadAndWrite,1,0,
Cao1,402004,Word,100,ReadAndWrite,1,0,
Lang1,402005,Word,100,ReadAndWrite,1,0,
Song1,402006,Word,100,ReadAndWrite,1,0,
Xa2,402007,Word,100,ReadAndWrite,1,0,
Rong2,402008,Word,100,ReadAndWrite,1,0,
Canh2,402009,Word,100,ReadAndWrite,1,0,
Cao2,402010,Word,100,ReadAndWrite,1,0,
Lang2,402011,Word,100,ReadAndWrite,1,0,
Song2,402012,Word,100,ReadAndWrite,1,0,
,,,,,,,
LenhChuyenDon,402013,Word,100,ReadAndWrite,1,0,
,,,,,,,
L1MAX,402015,Word,,,,,
L1MIN,402016,Word,,,,,
L2MAX ,402017,Word,,,,,
L2MIN,402018,Word,,,,,
L3MAX,402019,Word,,,,,
L3MIN,402020,Word,,,,,
L4MAX,402021,Word,,,,,
L4MIN,402022,Word,,,,,
LLMIN,402023,Word,,,,,
,,,,,,,
D1MAX,402024,Word,,,,,
D1MIN,402025,Word,,,,,
D2MAX,402026,Word,,,,,
D2MIN,402027,Word,,,,,
DDMIN,402028,Word,,,,,
,,,,,,,
,,,,,,,
Setting1,402029,Word,,,,,
Setting2,402030,Word,,,,,
Setting3,402031,Word,,,,,
Setting4,402032,Word,,,,,
Setting5,402033,Word,,,,,
Setting6,402034,Word,,,,,
Setting7,402035,Word,,,,,
Setting8,402036,Word,,,,,
Setting9,402037,Word,,,,,
Setting10,402038,Word,,,,,
