Name,Address,DataType,RefreshRate,AccessPermission,Gain,Offset,Description
STT1,406002,DWord,100,ReadAndWrite,1,0,
Xa1,406004,DWord,100,ReadAndWrite,1,0,
Rong1,406006,DWord,100,ReadAndWrite,1,0,
Canh1,406008,DWord,100,ReadAndWrite,1,0,
Cao1,406010,DWord,100,ReadAndWrite,1,0,
Lang1,406012,DWord,100,ReadAndWrite,1,0,
Song1,406014,DWord,100,ReadAndWrite,1,0,
KheHo1,406016,DWord,100,ReadAndWrite,1,0,
STT2,406018,DWord,100,ReadAndWrite,1,0,
Xa2,406020,DWord,100,ReadAndWrite,1,0,
Rong2,406022,DWord,100,ReadAndWrite,1,0,
Canh2,406024,DWord,100,ReadAndWrite,1,0,
Cao2,406026,DWord,100,ReadAndWrite,1,0,
Lang2,406028,DWord,100,ReadAndWrite,1,0,
Song2,406030,DWord,100,ReadAndWrite,1,0,
KheHo2,406032,DWord,100,ReadAndWrite,1,0,
LenhChuyenDon,406034,Word,100,ReadAndWrite,1,0,
CheDoChuyenDon,406035,Word,100,ReadAndWrite,1,0,
Run,406036,Word,100,ReadAndWrite,1,0,
TocDo,406038,DWord,100,ReadAndWrite,1,0,
DoiDon,406040,Long,100,ReadAndWrite,1,0,
Dao1_PV,406042,DWord,100,ReadAndWrite,1,0,
Dao1_SV,406044,DWord,100,ReadAndWrite,1,0,
Dao1_Adj,406046,DWord,100,ReadAndWrite,1,0,
Dao2_PV,406048,DWord,100,ReadAndWrite,1,0,
Dao2_SV,406050,DWord,100,ReadAndWrite,1,0,
Dao2_Adj,406052,DWord,100,ReadAndWrite,1,0,
Dao3_PV,406054,DWord,100,ReadAndWrite,1,0,
Dao3_SV,406056,DWord,100,ReadAndWrite,1,0,
Dao3_Adj,406058,DWord,100,ReadAndWrite,1,0,
Dao4_PV,406060,DWord,100,ReadAndWrite,1,0,
Dao4_SV,406062,DWord,100,ReadAndWrite,1,0,
Dao4_Adj,406064,DWord,100,ReadAndWrite,1,0,
Dao5_PV,406066,DWord,100,ReadAndWrite,1,0,
Dao5_SV,406068,DWord,100,ReadAndWrite,1,0,
Dao5_Adj,406070,DWord,100,ReadAndWrite,1,0,
Hut_PV,406072,DWord,100,ReadAndWrite,1,0,
Hut_SV,406074,DWord,100,ReadAndWrite,1,0,
Hut_Adj,406076,DWord,100,ReadAndWrite,1,0,
Lang1_PV,406078,DWord,100,ReadAndWrite,1,0,
Lang1_SV,406080,DWord,100,ReadAndWrite,1,0,
Lang1_Adj,406082,DWord,100,ReadAndWrite,1,0,
Lang2_PV,406084,DWord,100,ReadAndWrite,1,0,
Lang2_SV,406086,DWord,100,ReadAndWrite,1,0,
Lang2_Adj,406088,DWord,100,ReadAndWrite,1,0,
Lang3_PV,406090,DWord,100,ReadAndWrite,1,0,
Lang3_SV,406092,DWord,100,ReadAndWrite,1,0,
Lang3_Adj,406094,DWord,100,ReadAndWrite,1,0,
Lang4_PV,406096,DWord,100,ReadAndWrite,1,0,
Lang4_SV,406098,DWord,100,ReadAndWrite,1,0,
Lang4_Adj,406100,DWord,100,ReadAndWrite,1,0,
Lang5_PV,406102,DWord,100,ReadAndWrite,1,0,
Lang5_SV,406104,DWord,100,ReadAndWrite,1,0,
Lang5_Adj,406106,DWord,100,ReadAndWrite,1,0,
Lang6_PV,406108,DWord,100,ReadAndWrite,1,0,
Lang6_SV,406110,DWord,100,ReadAndWrite,1,0,
Lang6_Adj,406112,DWord,100,ReadAndWrite,1,0,
Lang7_PV,406114,DWord,100,ReadAndWrite,1,0,
Lang7_SV,406114,DWord,100,ReadAndWrite,1,0,
Lang7_Adj,406116,DWord,100,ReadAndWrite,1,0,
Lang8_PV,406118,DWord,100,ReadAndWrite,1,0,
Lang8_SV,406120,DWord,100,ReadAndWrite,1,0,
Lang8_Adj,406122,DWord,100,ReadAndWrite,1,0,
KheHo_PV,406124,DWord,100,ReadAndWrite,1,0,
KheHo_SV,406126,DWord,100,ReadAndWrite,1,0,
KheHo_Adj,406128,DWord,100,ReadAndWrite,1,0,
Dao1_Max,406200,DWord,100,ReadAndWrite,1,0,
Dao2_Max,406202,DWord,100,ReadAndWrite,1,0,
Dao_Dao,406204,DWord,100,ReadAndWrite,1,0,
Lang1_Min,406206,DWord,100,ReadAndWrite,1,0,
Lang1_Max,406208,DWord,100,ReadAndWrite,1,0,
Lang2_Min,406210,DWord,100,ReadAndWrite,1,0,
Lang2_Max,406212,DWord,100,ReadAndWrite,1,0,
Lang3_Min,406214,DWord,100,ReadAndWrite,1,0,
Lang3_Max,406216,DWord,100,ReadAndWrite,1,0,
Lang4_Min,406218,DWord,100,ReadAndWrite,1,0,
Lang4_Max,406220,DWord,100,ReadAndWrite,1,0,
Lang_Lang,406222,DWord,100,ReadAndWrite,1,0,
Setting1,406301,DWord,100,ReadAndWrite,1,0,
Setting2,406303,DWord,100,ReadAndWrite,1,0,
Setting3,406305,DWord,100,ReadAndWrite,1,0,
Setting4,406307,DWord,100,ReadAndWrite,1,0,
Setting5,406309,DWord,100,ReadAndWrite,1,0,
Setting6,406311,DWord,100,ReadAndWrite,1,0,
Setting7,406313,DWord,100,ReadAndWrite,1,0,
Setting8,406315,DWord,100,ReadAndWrite,1,0,
Setting9,406317,DWord,100,ReadAndWrite,1,0,
